Main_genome	haplotype	similarity_pair	best_match	similarity_best_match
JABUIU01_EVE040 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE041 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE042 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE043 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE044 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE045 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE046 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE006 (reversed)	NA	NA	JABUIV01_EVE003..reversed.	99.0654
JABUIU01_EVE059	NA	NA	JABUIV01_EVE004	74.149
JABUIU01_EVE063	NA	NA	JABUIV01_EVE004	74.517
JABUIU01_EVE060	NA	NA	JABUIV01_EVE004	74.793
JABUIU01_EVE062	NA	NA	JABUIV01_EVE004	69.8939
JABUIU01_EVE056	NA	NA	JABUIV01_EVE005	92.6471
JABUIU01_EVE064	NA	NA	JABUIV01_EVE006	96.9459
JABUIU01_EVE068	NA	NA	JABUIV01_EVE005	51.5406
JABUIU01_EVE069	NA	NA	JABUIV01_EVE005	43.038
JABUIU01_EVE047	NA	NA	JABUIV01_EVE006	23.9106
JABUIU01_EVE048	NA	NA	JABUIV01_EVE006	23.5991
JABUIU01_EVE050	NA	NA	JABUIV01_EVE005	28.2282
JABUIU01_EVE052	NA	NA	JABUIV01_EVE005	18.2058
JABUIU01_EVE054	NA	NA	JABUIV01_EVE005	18.2058
JABUIU01_EVE055	NA	NA	JABUIV01_EVE005	18.2058
JABUIU01_EVE051	NA	NA	JABUIV01_EVE005	27.5081
JABUIU01_EVE067	NA	NA	JABUIV01_EVE006	49.6821
JABUIU01_EVE002	NA	NA	JABUIV01_EVE002..reversed.	30
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE013	CALSDW01_EVE001	100	CALSDW01_EVE001	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE037	CALSDW01_EVE035	100	CALSDW01_EVE035	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE033 (reversed)	CALSDW01_EVE033..reversed.	100	CALSDW01_EVE033..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE052	CALSDW01_EVE052	100	CALSDW01_EVE052	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE063 (reversed)	CALSDW01_EVE059..reversed.	100	CALSDW01_EVE059..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE527	CALSDW01_EVE114	100	CALSDW01_EVE114	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE068	CALSDW01_EVE063	100	CALSDW01_EVE063	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE070	CALSDW01_EVE065	100	CALSDW01_EVE065	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE062	CALSDW01_EVE058	100	CALSDW01_EVE058	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE049	CALSDW01_EVE048	100	CALSDW01_EVE048	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE074 (reversed)	CALSDW01_EVE077..reversed.	100	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE075 (reversed)	CALSDW01_EVE078..reversed.	100	CALSDW01_EVE078..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE076 (reversed)	CALSDW01_EVE079..reversed.	100	CALSDW01_EVE079..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE077 (reversed)	CALSDW01_EVE080..reversed.	100	CALSDW01_EVE080..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE078 (reversed)	CALSDW01_EVE081..reversed.	100	CALSDW01_EVE081..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE079 (reversed)	CALSDW01_EVE083..reversed.	100	CALSDW01_EVE083..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE080 (reversed)	CALSDW01_EVE084..reversed.	100	CALSDW01_EVE084..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE081 (reversed)	CALSDW01_EVE086..reversed.	100	CALSDW01_EVE086..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE082 (reversed)	CALSDW01_EVE088..reversed.	100	CALSDW01_EVE088..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE083 (reversed)	CALSDW01_EVE089..reversed.	100	CALSDW01_EVE089..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE084 (reversed)	CALSDW01_EVE090..reversed.	100	CALSDW01_EVE090..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE085 (reversed)	CALSDW01_EVE092..reversed.	100	CALSDW01_EVE092..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE087 (reversed)	CALSDW01_EVE093..reversed.	100	CALSDW01_EVE093..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE088 (reversed)	CALSDW01_EVE096..reversed.	100	CALSDW01_EVE096..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE089 (reversed)	CALSDW01_EVE097..reversed.	100	CALSDW01_EVE097..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE090 (reversed)	CALSDW01_EVE098..reversed.	100	CALSDW01_EVE098..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE091 (reversed)	CALSDW01_EVE099..reversed.	100	CALSDW01_EVE099..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE092 (reversed)	CALSDW01_EVE100..reversed.	100	CALSDW01_EVE100..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE093 (reversed)	CALSDW01_EVE101..reversed.	100	CALSDW01_EVE101..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE094 (reversed)	CALSDW01_EVE102..reversed.	100	CALSDW01_EVE102..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE095 (reversed)	CALSDW01_EVE103..reversed.	100	CALSDW01_EVE103..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE096 (reversed)	CALSDW01_EVE105..reversed.	100	CALSDW01_EVE105..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE097 (reversed)	CALSDW01_EVE106..reversed.	100	CALSDW01_EVE106..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE098 (reversed)	CALSDW01_EVE107..reversed.	100	CALSDW01_EVE107..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE099 (reversed)	CALSDW01_EVE109..reversed.	100	CALSDW01_EVE109..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE086 (reversed)	CALSDW01_EVE082..reversed.	100	CALSDW01_EVE082..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE115 (reversed)	CALSDW01_EVE085..reversed.	100	CALSDW01_EVE085..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE136 (reversed)	CALSDW01_EVE087..reversed.	100	CALSDW01_EVE087..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE137 (reversed)	CALSDW01_EVE091..reversed.	100	CALSDW01_EVE091..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE139 (reversed)	CALSDW01_EVE094..reversed.	100	CALSDW01_EVE094..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE160 (reversed)	CALSDW01_EVE095..reversed.	100	CALSDW01_EVE095..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE177 (reversed)	CALSDW01_EVE104..reversed.	100	CALSDW01_EVE104..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE178 (reversed)	CALSDW01_EVE108..reversed.	100	CALSDW01_EVE108..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE522	CALSDW01_EVE111	100	CALSDW01_EVE111	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE015	CALSDW01_EVE013	100	CALSDW01_EVE013	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE035	CALSDW01_EVE034	99.9189	CALSDW01_EVE034	99.9189
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE066	CALSDW01_EVE060	99.8358	CALSDW01_EVE060	99.8358
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE004 (reversed)	CALSDW01_EVE002..reversed.	99.7959	CALSDW01_EVE002..reversed.	99.7959
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE032	CALSDW01_EVE030	99.7636	CALSDW01_EVE030	99.7636
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE031	CALSDW01_EVE026	99.7553	CALSDW01_EVE026	99.7553
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE006	CALSDW01_EVE005	99.7449	CALSDW01_EVE005	99.7449
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE010 (reversed)	CALSDW01_EVE017..reversed.	99.6865	CALSDW01_EVE017..reversed.	99.6865
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE055	CALSDW01_EVE057	99.6819	CALSDW01_EVE057	99.6819
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE025 (reversed)	CALSDW01_EVE023..reversed.	99.6764	CALSDW01_EVE023..reversed.	99.6764
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE043	CALSDW01_EVE042	99.6572	CALSDW01_EVE042	99.6572
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE040	CALSDW01_EVE043	99.619	CALSDW01_EVE043	99.619
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE542	CALSDW01_EVE128	99.5614	CALSDW01_EVE128	99.5614
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE541	CALSDW01_EVE129	99.5614	CALSDW01_EVE129	99.5614
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE054	CALSDW01_EVE053	99.5536	CALSDW01_EVE053	99.5536
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE524	CALSDW01_EVE113	99.5434	CALSDW01_EVE113	99.5434
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE526	CALSDW01_EVE112	99.5434	CALSDW01_EVE112	99.5434
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE046	CALSDW01_EVE044	99.5283	CALSDW01_EVE044	99.5283
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE012	CALSDW01_EVE011	99.4863	CALSDW01_EVE011	99.4863
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE059	CALSDW01_EVE056	99.4161	CALSDW01_EVE056	99.4161
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE061	CALSDW01_EVE055	99.3902	CALSDW01_EVE055	99.3902
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE069	CALSDW01_EVE074	99.3506	CALSDW01_EVE074	99.3506
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE072	CALSDW01_EVE066	99.3506	CALSDW01_EVE066	99.3506
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE016	CALSDW01_EVE014	99.3243	CALSDW01_EVE014	99.3243
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE538	CALSDW01_EVE126	99.2982	CALSDW01_EVE126	99.2982
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE071	CALSDW01_EVE076	99.2248	CALSDW01_EVE076	99.2248
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE038	CALSDW01_EVE038	99.2095	CALSDW01_EVE038	99.2095
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE011	CALSDW01_EVE010	99.1453	CALSDW01_EVE010	99.1453
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE073	CALSDW01_EVE067	99.1342	CALSDW01_EVE067	99.1342
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE050	CALSDW01_EVE046	98.9392	CALSDW01_EVE046	98.9392
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE029	CALSDW01_EVE025	98.893	CALSDW01_EVE025	98.893
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE030	CALSDW01_EVE032	98.8095	CALSDW01_EVE032	98.8095
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE546	CALSDW01_EVE130	98.7719	CALSDW01_EVE130	98.7719
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE008	CALSDW01_EVE015	98.75	CALSDW01_EVE015	98.75
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE531	CALSDW01_EVE118	98.7069	CALSDW01_EVE118	98.7069
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE518	CALSDW01_EVE110	98.6454	CALSDW01_EVE110	98.6454
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE003	CALSDW01_EVE062	98.4848	CALSDW01_EVE062	98.4848
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE034	CALSDW01_EVE031	98.4064	CALSDW01_EVE031	98.4064
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE039	CALSDW01_EVE036	98.2843	CALSDW01_EVE036	98.2843
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE014 (reversed)	CALSDW01_EVE021..reversed.	98.2201	CALSDW01_EVE021..reversed.	98.2201
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE044	CALSDW01_EVE041	97.8571	CALSDW01_EVE041	97.8571
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE036	CALSDW01_EVE028	97.7113	CALSDW01_EVE028	97.7113
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE547	CALSDW01_EVE125	97.4561	CALSDW01_EVE125	97.4561
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE026	CALSDW01_EVE024	97.235	CALSDW01_EVE024	97.235
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE005 (reversed)	CALSDW01_EVE003..reversed.	96.6963	CALSDW01_EVE003..reversed.	96.6963
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE533 (reversed)	CALSDW01_EVE022..reversed.	96.5287	CALSDW01_EVE022..reversed.	96.5287
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE525 (reversed)	CALSDW01_EVE115..reversed.	96.2745	CALSDW01_EVE115..reversed.	96.2745
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE047	CALSDW01_EVE061	96.0573	CALSDW01_EVE061	96.0573
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE001	CALSDW01_EVE018	95.8277	CALSDW01_EVE018	95.8277
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE067	CALSDW01_EVE047	95.2381	CALSDW01_EVE047	95.2381
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE064	NA	NA	CALSDW01_EVE053	29.3878
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE017	NA	NA	CALSDW01_EVE082..reversed.	32.381
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE048	NA	NA	CALSDW01_EVE030	98.3051
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE057	NA	NA	CALSDW01_EVE032	95.4167
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE060	NA	NA	CALSDW01_EVE030	94.2857
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE051	NA	NA	CALSDW01_EVE041	68.5083
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE028	NA	NA	CALSDW01_EVE128	33.8983
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE548	NA	NA	CALSDW01_EVE127	94.9011
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE532	NA	NA	CALSDW01_EVE124	88.4045
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE540	NA	NA	CALSDW01_EVE125	96.7544
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE544	NA	NA	CALSDW01_EVE128	99.1228
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE543	NA	NA	CALSDW01_EVE129	99.0351
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE545	NA	NA	CALSDW01_EVE129	98.8596
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE537	NA	NA	CALSDW01_EVE128	84.1228
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE539	NA	NA	CALSDW01_EVE126	88.1645
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE536	NA	NA	CALSDW01_EVE119	92.2311
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE042 (reversed)	NA	NA	CALSDW01_EVE040..reversed.	92.5566
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE041 (reversed)	NA	NA	CALSDW01_EVE033..reversed.	79.1667
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE534	NA	NA	CALSDW01_EVE121	92.5439
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE535	NA	NA	CALSDW01_EVE121	88.4444
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE007	NA	NA	CALSDW01_EVE121	28.9474
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE019 (reversed)	NA	NA	CALSDW01_EVE022..reversed.	91.1883
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE020 (reversed)	NA	NA	CALSDW01_EVE022..reversed.	90.3872
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE021 (reversed)	NA	NA	CALSDW01_EVE022..reversed.	90.6767
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE022 (reversed)	NA	NA	CALSDW01_EVE022..reversed.	90.9091
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE023 (reversed)	NA	NA	CALSDW01_EVE009..reversed.	39.8148
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE024 (reversed)	NA	NA	CALSDW01_EVE009..reversed.	39.3519
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE528	NA	NA	CALSDW01_EVE114	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE065	NA	NA	CALSDW01_EVE062	98.2571
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE056	NA	NA	CALSDW01_EVE057	99.3637
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE058	NA	NA	CALSDW01_EVE064	88.694
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE530	NA	NA	CALSDW01_EVE076	30.0199
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE045 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	30.4762
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE027 (reversed)	NA	NA	CALSDW01_EVE012..reversed.	88.4137
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE002 (reversed)	NA	NA	CALSDW01_EVE019..reversed.	89.5498
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE100 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE101 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE102 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE103 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE104 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE105 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE106 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE107 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE108 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE109 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE110 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE111 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE112 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE113 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE114 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE116 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE117 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE118 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE119 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE120 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE121 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE122 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE123 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE124 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE125 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE126 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE127 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE128 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE129 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE130 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE131 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE132 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE133 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE134 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE135 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE138 (reversed)	NA	NA	CALSDW01_EVE077..reversed.	100
