accessions	organism_an	infra_name_ss	haplotypes	sequencing technique	sequencing	assembly	coverage 	location	submission	Institute	
CAJZCY01	Anopheles atroparvus	strain: Infravec2 EBRE	CALTRM01	PacBio HIFI	third	Canu and haplomerger, hifiasm			2022	Infravec, Infravec Consortium, Infravec2, Institut Pasteur, Sergent Building, 3rd floor, 28, rue du Docteur Roux, 75015 Paris, France, France	
CALTRM01	Anopheles atroparvus	strain: Infravec2 EBRE		PacBio HIFI	third	Canu and haplomerger, hifiasm			2022	Infravec, Infravec Consortium, Infravec2, Institut Pasteur, Sergent Building, 3rd floor, 28, rue du Docteur Roux, 75015 Paris, France, France	
CALSEL02	Anopheles bellator			10X Genomics Chromium data and Arima Hi-C data	hybrid	10x assembly generation with supernova and Hi-C based scaffolding with SALSA2, gEVAL	120x		2022/23	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
SIXB01	Anopheles bwambae	isolate: UG.S1.HLC.0915.001		Illumina HiSeq	second	w2rap-contigger v. JULY-2016	254.4x	Uganda Virus Research Institute	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
APCM01	Anopheles christyi	strain: ACHKN1017		Illumina	second	allpaths v. R44024	35.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
JADQCV01	Anopheles coluzzi			Oxford Nanopore MinION	third	Canu v. 1.8	34x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADQCW01	Anopheles coluzzi			Oxford Nanopore MinION	third	Canu v. 1.8	31x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADQCX01	Anopheles coluzzi			PacBio RS	third	Canu v. 1.8	89x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADQCY01	Anopheles coluzzi			Oxford Nanopore MinION	third	Canu v. 1.8	28x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADQCZ01	Anopheles coluzzi			Oxford Nanopore MinION	third	Canu v. 1.8	28x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADQDA01	Anopheles coluzzii	isolate: DLA112	https://genome.cshlp.org/content/32/1/189.full	Oxford Nanopore MinION	third	Canu v. 1.8	55x	Neil Michel Longo Pendy	2020	Comparative and Computational Genomics, Institut de Biologia Evolutiva, Passeig de la Barceloneta 37-49, Barcelona 08003, Spain	
JADFTP01	Anopheles coluzzii	isolate: MOPTI		Oxford Nanopore MinION	third	Canu v. 1.8	100.0x	Mali: NGabacoro Droit	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
JADFFJ01	Anopheles coluzzii	isolate: Ngousso colony		PacBio Sequel	third	FALCON-Unzip v. Aug-2018	48x	Cameroon	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
RWKB01	Anopheles coluzzii	isolate: Ngousso colony	2 haplotypes	PacBio Sequel	third	FALCON-Unzip v. Aug-2018	48.0x	Cameroon	2018	Apps Lab, Pacific Biosciences, 1305 O'Brien Drive, Menlo Park, CA 94025, USA	
ABKP02	Anopheles coluzzii	strain: M		Sanger sequencing	first		8x		2008	J Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	
CALSDT01	Anopheles coluzzii			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	59x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943734685.1	Anopheles coluzzii		CALSEE01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	59x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943734705.1	Anopheles coustani		CALSDW01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	33x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSDW01	Anopheles coustani			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	33x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
LULB01	Anopheles cracens	isolate: Kuala Lipis		Illumina HiSeq2000	second	SOAPdenovo v. 2.04	212.09x	Malaysia: Kuala Lumpur	2016	Parasitology, University of Malaya, Lembah Pantai, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur 50603, Malaysia	
CALSDP01	Anopheles cruzii			10X Genomics Chromium data, Arima Hi-C data, and low coverage PacBio HiFi data	hybrid	initial 10x assembly generation with supernova, Hi-C based scaffolding with SALSA2, and PacBio scaffolding with LR_Gapcloser, gEVAL	103x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
AXCM01	Anopheles culicifacies	strain: species A-37_1		Illumina	second	allpaths	31.0x			Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
JBCDWH01	Anopheles darlingi	isolate: JC-H15_27		Illumina; PacBio	hybrid	hifiasm v. 0.14	94.0x	Peru	2024	Genomics Center for Infectious Disease, Broad Institute, 415 Main Street, Cambridge, MA 02142, USA	
ADMH02	Anopheles darlingi			454	second	Celera Assembler v. 6.1	20.0x	Brazil: Coari, Amazonas	2012	Labinfo, LNCC - Laboratorio Nacional de Computacao Cientifica, Rua Getulio Vargas 333, Petropolis, RJ 25651075, Brazil	
GCF_943734745.1	Anopheles darlingi		CALSEC01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA3	32x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSEC01	Anopheles darlingi			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA3	32x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
APCL01	Anopheles dirus	strain: WRAIR2		Illumina	second	allpaths v. R43500	184.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
APCJ01	Anopheles epiroticus	strain: epiroticus2		Illumina	second	allpaths v. R43500	49.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
JXWZ01	Anopheles farauti	isolate: 7_10-11		Illumina HiSeq	second	ABySS v. 1.3.6	131.0x	Papua New Guinea: Naru	2015	Genomic Medicine Institute, Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA	
JXXC01	Anopheles farauti	isolate: AF1wgs1		Illumina GAIIx	second	ABySS v. 1.3.6	34.0x	Papua New Guinea	2015	Genomic Medicine Institute, Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA	
AXCN02	Anopheles farauti	strain: FAR1		Illumina	second	allpaths	233.0x		2013/14	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
VTWG01	Anopheles fontenillei	isolate: MGB-2018		Illumina HiSeq	second	Platanus v. 1.2.4	112.0x	Gabon: La Lope	2019	Evolutionary and Functional Genomics Lab, Institute of Evolutionary Biology (IBE), CSIC-Universitat Pompeu Fabra, Barcelona, Spain	
APCI01	Anopheles funestus	strain: FUMOZ		Illumina	second	allpaths v. R43460	135.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
RCWQ01	Anopheles funestus	strain: FUMOZ		PacBio RSII	third	Canu v. 1.3	234.0x		2018	Department of Biological Sciences, University of Notre Dame, 317 Galvin Life Science Center, Notre Dame, IN 46556, USA	
CALSDO01	Anopheles funestus			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C	hybrid	LongRanger, and Hi-C based scaffolding with SALSA2	56.0x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943734845.2	Anopheles funestus		CALSDO01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C	hybrid	LongRanger, and Hi-C based scaffolding with SALSA2	56.0x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CAWUOS01	Anopheles funestus			PacBio HiFi data and Arima Hi-C	hybrid	hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YAHS	33x		2024	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCA_964033645.1	Anopheles funestus		CAWUOS01	PacBio HiFi data and Arima Hi-C	hybrid	hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YAHS	33x		2024	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
STHE01	Anopheles funestus-like sensu Spillings et al. (2009)	isolate: 11		Illumina	second	w2rap-contigger v. 2015	160.0x	Malawi	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
JXPR01	Anopheles gambiae	isolate: BV_Anopheles		Illumina	second	SOAPdenovo v. 1.05	6.5x		2015	Integrative Biology, UC Berkeley, Valley Life Sciences Building, UC Berkeley, Berkeley, CA 94720, USA	
JAVFHU01	Anopheles gambiae	strain: G3		Illumina NovaSeq	second	MaSuRCA v. 4.1.0	53.0x	Gambia	2023	Science Department, Phillips Exeter Academy, 20 Main Street, Exeter, NH 03833, USA	
AAAB01	Anopheles gambiae	strain: PEST		Sanger sequencing combined with Celera mate-pair sequencing	first				2002/2011	Celera Genomics, 45 W. Gude Dr., Rockville, MD 20850, USA	VectorBase, European Bioinformatics Institute, Hinxton, Cambridge CB10 1SA, UK
LCWJ01	Anopheles gambiae	strain: Pimperena S		PacBio	third	Celera Assembler v. 8.0	70.0x		2015	Informatics, NBACC, 110 Thomas Johnson Drive, Suite 300, Frederick, MD 21072, USA	
ABKQ02	Anopheles gambiae	strain: S		Sanger sequencing	first		8x		2008	J Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	
CALSDS01	Anopheles gambiae			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	54x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943734735.2	Anopheles gambiae		CALSDS01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2	54x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
JXXB01	Anopheles koliensis	isolate: AKwgs3		Illumina GAIIx	second	ABySS v. 1.3.6	39.0x	Papua New Guinea: Madang	2015	Genomic Medicine Institute, Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA	
STHD01	Anopheles longipalpis	isolate: 14254		Illumina	second	w2rap-contigger v. 2015	150.0x	Zambia	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
LULA01	Anopheles maculatus	isolate: BtQ1		Illumina HiSeq2000	second	SOAPdenovo v. 2.04	93.21x	Malaysia: Kuala Lumpur	2016	Parasitology, University of Malaya, Lembah Pantai, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur 50603, Malaysia	
AXCL01	Anopheles maculatus	strain: maculatus3		Illumina	second	allpaths	25.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
GCF_943734695.1	Anopheles maculipalpis		CALSEK01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	52x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSEK01	Anopheles maculipalpis			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	52x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943734725.1	Anopheles marshallii		CALSEI01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	51x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSEI01	Anopheles marshallii			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	51x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
AXCO02	Anopheles melas	strain: CM1001059_A		Illumina	second	allpaths	147.0x		2013/14	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
AXCQ02	Anopheles merus	strain: MAF		Illumina	second	allpaths	147.0x			Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
JADFFO01	Anopheles merus	strain: MAF		PacBio Sequel	third	Canu v. 1.7.1	50x	South Africa	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
APHL01	Anopheles minimus	strain: MINIMUS1		Illumina	second	allpaths	211.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
GCF_943734755.1	Anopheles moucheti		CALSED01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA4	41x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSED01	Anopheles moucheti			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA4	41x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
ATLZ01	Anopheles nili			Illumina GAIIx	second	GS De Novo Assembler v. Mar-2010	0.4x	Burkina Faso: Dinderesso	2013	Department of Entomology, Virginia Tech, 203 Fralin Life Science Institute, Blacksburg, VA 24061, USA	
CALSFZ01	Anopheles nili			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid		48x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCF_943737925.1	Anopheles nili		CALSFZ01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2	48x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
STHC01	Anopheles parensis	isolate: F777		Illumina	second	w2rap-contigger v. 2016	149.0x	South Africa	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
JAOEFI01	Anopheles plumbeus	isolate: IRGN T9WC8I42LB		Illumina	second	SPAdes v. 2021	130.0x	USA	2023	Biodiversity, Iridian Genomes, 6213 Swords Way, Bethesda, MD 20817, USA	
JXXA01	Anopheles punctulatus	isolate: APwgs2		Illumina HiSeq	second	ABySS v. 1.3.6	50.0x	Papua New Guinea: Madang	2015	Genomic Medicine Institute, Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA	
APCH01	Anopheles quadriannulatus	strain: QUAD4_A		Illumina	second	allpaths v. R43436	93.0x		2013	Broad Institute of MIT and Harvard	
STHB01	Anopheles rivulorum	isolate: F794		Illumina	second	w2rap-contigger v. 2015	131.0x	South Africa	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
AXCK02	Anopheles sinensis	strain: SINENSIS		Illumina	second	allpaths	86.0x		2013/14	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
ATLV01	Anopheles sinensis			454	second	Celera Assembler v. 6.1	30.0x	China	2013	Department of Pathogen Biology, Nanjing Medical University, 140 Hanzhong Road, Nanjing, Jiangsu 210029, China	
JALIHK01	Anopheles stephensi	isolate: IndInt_Asm2022		PacBio Sequel	third	WTDBG v. 2	60.0x	India: Bangalore	2022	Bioinformatics, IBAB, Electronic City - Phase 1, Bengaluru, Karnataka 560100, India	
JAIQDY01	Anopheles stephensi	strain: ICH-2016		PacBio Sequel	third	FALCON v. MAY-2020	60.0x		2021	Bioinformatics, IBAB, Electronic City - Phase 1, Bengaluru, Karnataka 560100, India	
JABEOT01	Anopheles stephensi	strain: Indian		PacBio RSII; PacBio Sequel	third	canu v. 1.7; FALCON v. JAN-2018	180.0x		2020	Department of Ecology and Evolutionary Biology, University of California Irvine, 321 Steinhaus Hall, Irvine, CA 92697, USA	
JADFFN01	Anopheles stephensi	strain: Indian		454; PacBio; Illumina GAII	hybrid	Newbler v. 2.8	16x	India	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
ALPR02	Anopheles stephensi	strain: Indian Wild Type (Walter Reed)		454; PacBio; Illumina GAII	hybrid	Newbler v. 2.8	16.0x	India	2013	Fralin Life Science Institution, West Campus Drive, Virginia Tech, Blacksburg, VA 24061, USA	
APCG01	Anopheles stephensi	strain: SDA-500		Illumina	second	allpaths v. R43718	97.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge	
STHA01	Anopheles vaneedeni	isolate: F659		Illumina HiSeq	second	w2rap-contigger v. 2015	139.0x	South Africa	2019	Biological Sciences, University of Notre Dame, 100 Galvin Life Sciences Building, Notre Dame, IN 46556, USA	
GCF_943734765.1	Anopheles ziemanni		CALSEF01	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA5	94x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
CALSEF01	Anopheles ziemanni			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA5	94x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
